Area (m²),Elevation (m),Volume (m³)
38731869.65720587,692.0,4305528975.124348
38945167.72390381,693.0,4344588015.122903
39172912.27320679,694.0,4383887971.463724
39427000.40843661,695.0,4423422470.698605
39641998.06132338,696.0,4463183014.896599
39879090.33466492,697.0,4503183625.6437645
40122131.15966735,698.0,4543418779.284989
40348176.1227815,699.0,4583882527.268611
40579319.844462134,700.0,4624579118.560102
40813862.73852043,701.0,4665511527.435293
41050955.011861965,702.0,4706662333.135749
41250656.38904928,703.0,4748038334.006225
41501345.351901434,704.0,4789656950.805155
41735888.24595973,705.0,4831509685.601597
41969581.346923605,706.0,4873591439.636983
42193926.723848924,707.0,4915910710.8422575
42444615.68670108,708.0,4958473872.665629
42681707.96004262,709.0,5001287723.451854
42945993.612405404,710.0,5044351838.304382
43182236.09265252,711.0,5087670891.085236
43455869.469053864,712.0,5131254229.518452
43710807.397378094,713.0,5175103128.293672
43986990.15306268,714.0,5219210364.169594
44227481.59878187,715.0,5263571263.284199
44494316.6304279,716.0,5308189649.706411
44742456.21399681,717.0,5353049802.263985
44977848.90114952,718.0,5398148746.681088
45220039.93305754,719.0,5443492856.4059305
45468179.516626455,720.0,5489109324.817533
45764757.306576975,721.0,5534994327.846969
46005248.752296165,722.0,5581124496.184144
46255087.92205391,723.0,5627493881.277396
46483682.2644513,724.0,5674110556.161123
46749667.50300292,725.0,5720982168.973175
46993558.12109976,726.0,5768112968.679023
47268041.29059552,727.0,5815515277.278536
47536575.908430375,728.0,5863181871.530412
47796612.59532109,729.0,5911109352.262273
48058348.86840063,730.0,5959289646.439722
48302239.48649748,731.0,6007721479.373117
48561426.38029378,732.0,6056398902.510798
48793419.89506883,733.0,6105317666.887294
49044108.85792099,734.0,6154495193.261038
49310943.88956702,735.0,6203946353.011183
49591375.610723674,736.0,6253656274.758577
49828467.88406521,737.0,6303623683.81358
50106350.22593862,738.0,6353867275.624266
50380833.39543437,739.0,6404392573.845751
50669763.047535166,740.0,6455199153.581487
50943396.42393651,741.0,6506282340.969455
51222978.35199875,742.0,6557642985.802749
51498311.31458891,743.0,6609270890.564236
51757498.208385214,744.0,6661157557.322972
52015835.3090871,745.0,6713308934.630618
52286919.3062052,746.0,6765719923.728608
52535058.889774114,747.0,6818393923.789319
52812941.23164752,748.0,6871361102.467603
53121416.12491984,749.0,6924613811.625609
